year,competition_id
2004,176951
2004,120412
2004,8851297
2004,8851449
2004,8851469
2004,8849807
2004,8851205
2004,8851553
2004,8851593
2004,8851599
2004,177031
2004,176991
2004,177047
2005,9344
2005,9340
2005,179618
2005,179619
2005,179615
2005,179616
2005,177181
2005,177182
2005,177179
2005,9356
2005,9357
2005,9358
2005,9359
2005,9350
2005,9353
2005,9354
2005,9355
2005,177188
2005,177189
2005,177185
2005,177186
2005,177078
2005,177081
2005,177051
2005,177202
2005,177203
2005,177199
2005,177200
2005,177118
2005,177121
2005,177091
2005,177103
2005,177158
2005,177161
2005,177131
2005,177143
2005,177209
2005,177210
2005,177206
2005,177207
2005,179625
2005,179626
2005,179622
2005,177174
2005,177175
2006,178979
2006,178976
2006,178986
2006,178987
2006,178983
2006,40882
2006,38878
2006,40825
2006,41210
2006,43571
2006,177812
2006,177813
2006,177809
2006,177810
2006,48196
2006,49044
2006,1346328
2006,1346329
2006,182965
2006,182966
2006,182962
2006,182916
2006,182913
2006,178371
2006,178372
2006,178368
2006,178369
2006,177263
2006,177264
2006,177260
2006,177261
2006,179590
2006,179587
2006,178406
2006,178403
2006,182923
2006,182924
2006,182920
2006,182921
2006,182937
2006,182938
2006,182934
2006,182935
2006,82636
2006,80544
2006,81142
2006,83942
2006,83250
2006,83053
2006,87991
2006,92008
2006,89341
2006,88609
2006,88973
2006,88890
2006,95176
2006,93184
2006,92628
2006,182930
2006,182927
2006,179597
2006,179594
2006,182944
2006,182945
2006,182941
2006,182951
2006,182948
2006,9043469
2006,183708
2006,183709
2006,183705
2006,183706
2006,182958
2006,182955
2006,178385
2006,178386
2006,178382
2006,178383
2006,154232
2006,154235
2006,154205
2006,154217
2006,178392
2006,178393
2006,178389
2006,178390
2006,182902
2006,182903
2006,182899
2006,179604
2006,179605
2006,179601
2006,179602
2006,178399
2006,178400
2006,178396
2006,178397
2006,177247
2006,177250
2006,177220
2006,177232
2006,179583
2006,179584
2006,179580
2006,179581
2006,182909
2006,182910
2006,182906
2006,179611
2006,179612
2006,179608
2006,179609
2006,177216
2006,177217
2006,177213
2006,177214
2007,253734
2007,253498
2007,253509
2007,251776
2007,253751
2007,341386
2007,341387
2007,341383
2007,341384
2007,611713
2007,611717
2007,612044
2007,396227
2007,396224
2007,816288
2007,813883
2007,816187
2007,816459
2007,818998
2007,1121292
2007,1121296
